educ	gender	jobcat	logsal	logssal	race
12	1	1	10.1867850267	9.61580548008	1
12	1	1	10.1924188444	9.51044496443	1
15	0	1	10.3039401188	9.61580548008	1
20	1	3	11.145478424	10.6567886559	0
8	1	2	10.3719274598	9.61580548008	0
8	1	1	10.175421268	9.65502619324	0
16	0	1	10.4829059678	9.75556742246	0
12	0	1	10.2576593663	9.71111565989	0
12	0	1	9.74683374249	9.2301429992700016	0
12	1	1	10.1345992735	9.47654341275	1
12	0	1	10.0858091093	9.45328655059	1
12	0	1	10.2201214469	9.2301429992700016	1
12	0	1	9.82281964947	9.2301429992700016	1
15	1	1	10.5789797979	9.66459564425	0
15	1	1	10.5674633558	9.61580548008	0
8	1	2	10.3336452732	9.61580548008	0
15	1	1	10.532096212	9.92329017983	0
16	1	3	10.981046432	9.98736903652	0
12	0	1	10.448714603	9.8389490314	0
12	0	1	10.4912742174	9.9024870522	0
8	0	1	10.2784934532	9.71111565989	0
12	0	1	9.71111565989	9.2301429992700016	0
12	1	1	9.8858326173	9.45328655059	1
12	0	1	10.116580768	9.39266192877	1
15	0	1	10.2091323254	9.66459564425	1
12	0	1	10.1811192891	9.45328655059	1
16	0	1	10.0475878965	9.39266192877	1
15	1	3	10.9132686275	10.1464337311	0
19	1	3	11.168673041	10.6805162171	0
16	1	3	10.844470897	10.2212137463	0
17	1	3	11.1198828769	10.4625317486	0
12	1	1	10.2867070517	9.87816974455	0
15	1	1	10.5865843972	9.71111565989	0
12	1	1	10.2784934532	9.61580548008	0
15	1	1	10.4087979956	9.71111565989	0
16	1	3	11.1087095763	10.8685684486	0
12	1	2	10.4267356963	9.61580548008	0
15	1	1	10.2146419812	9.75556742246	0
12	0	1	10.0858091093	9.32812340763	0
8	0	1	9.89343721668	9.2301429992700016	0
15	1	1	10.3287552879	9.71111565989	1
15	1	1	10.273325483	9.61580548008	1
15	1	1	10.5558127386	9.71111565989	1
8	1	2	10.3336452732	9.61580548008	1
12	0	1	9.92329017983	9.30109473524	1
12	0	1	9.86266555802	9.3147003873	1
15	1	1	10.3139402022	9.66459564425	0
16	1	1	10.4521868287	10.2309911192	0
15	1	1	11.2897819137	9.66459564425	0
12	1	1	10.140534009	9.61580548008	0
12	1	1	10.3039401188	9.66459564425	0
12	0	1	10.0858091093	9.53242387115	0
15	0	1	10.2309911192	9.87816974455	0
8	0	1	10.0145816	9.2301429992700016	0
12	0	1	9.69276652122	9.2301429992700016	0
15	0	1	9.9942419158	9.45328655059	0
16	0	1	10.054060411	9.66459564425	0
12	0	1	10.4311702934	9.39266192877	0
15	0	1	10.1522988506	9.5645121857	0
12	0	1	9.75556742246	9.2301429992700016	0
15	1	1	10.0212705882	9.61580548008	1
16	1	3	10.6016222746	9.95227771671	0
19	1	3	10.9241382997	10.4267356963	0
15	1	1	10.1867850267	9.61580548008	0
15	1	1	10.8307182244	9.87816974455	0
19	1	3	11.2252433925	10.3577428248	0
8	0	1	10.2201214469	9.39266192877	0
12	0	1	10.0279151309	9.32812340763	0
12	0	1	10.2146419812	9.32812340763	0
12	0	1	10.2309911192	9.32589871261	0
16	0	3	10.9036597684	9.8389490314	0
8	0	1	9.7642254852	9.2301429992700016	0
12	0	1	10.6164373604	9.79812703688	0
12	0	1	10.0475878965	9.30109473524	0
8	0	1	10.0212705882	9.30109473524	0
12	0	1	10.1924188444	9.35444071595	0
12	0	1	10.1226230825	9.32812340763	0
12	0	1	9.8858326173	9.30109473524	0
12	0	1	10.0010678809	9.30109473524	0
12	0	1	10.1464337311	9.39266192877	0
15	0	1	10.2470772569	9.45328655059	0
12	0	1	10.0475878965	9.32812340763	0
12	1	1	10.1464337311	9.34136863438	1
8	0	1	9.74683374249	9.2301429992700016	1
18	1	3	11.129099532	10.3886876287	0
12	1	2	10.3287552879	9.66459564425	0
19	1	3	10.8613999591	10.2212137463	0
19	1	3	11.0328714999	10.5118935046	0
8	1	1	9.9664623517	9.35444071595	0
12	0	1	9.8858326173	9.32812340763	0
12	0	1	10.0145816	9.32812340763	0
12	0	1	10.0604913013	9.32812340763	0
12	0	1	10.0982316293	9.30109473524	0
12	0	1	10.2576593663	9.32812340763	0
12	0	1	9.90098442232	9.32812340763	0
12	0	1	10.0604913013	9.32812340763	0
16	0	1	10.448714603	9.75556742246	0
12	0	1	9.80642583969	9.30109473524	0
12	1	1	10.0145816	9.61580548008	1
15	1	1	10.6016222746	9.75556742246	0
15	1	1	10.2629087221	9.79812703688	0
15	1	1	10.2309911192	9.71111565989	0
18	1	1	11.1105804842	10.3728659864	0
12	1	2	10.3089526606	9.66459564425	0
16	1	3	11.3355914497	9.98736903652	0
12	1	1	10.4311702934	9.71111565989	0
16	1	3	10.9419959171	9.95227771671	0
16	0	3	10.6689553947	9.76938456801	0
8	0	1	9.94510922723	9.39266192877	0
12	0	1	10.1043854949	9.39266192877	0
12	0	1	10.116580768	9.30109473524	0
8	1	2	10.448714603	9.66459564425	1
14	1	1	10.2363819678	9.61580548008	1
19	1	3	11.129099532	10.373803633	0
19	1	3	11.2050406852	10.4042628404	0
8	1	2	10.3336452732	9.66459564425	0
15	1	3	10.5978839525	10.1464337311	0
16	1	1	10.6053466737	9.87816974455	0
15	1	3	10.563594879	10.0744953494	0
17	1	3	11.0821425489	10.3336452732	0
18	1	3	10.8483657413	10.4979187602	0
12	1	2	10.4702208082	9.66459564425	0
14	1	1	10.1639268886	9.61580548008	0
15	1	1	10.1286291065	9.5645121857	0
12	1	1	10.1924188444	9.45328655059	0
8	1	1	10.0858091093	9.66459564425	0
12	1	1	10.1980210999	9.61580548008	0
12	0	1	10.0604913013	9.63560810738	0
12	0	1	10.1105017219	9.51044496443	0
15	0	1	10.3905326476	9.79812703688	0
16	1	1	10.1867850267	9.61580548008	1
12	1	1	10.3577428248	9.51044496443	1
8	1	1	10.0145816	9.61580548008	1
12	1	2	10.4702208082	9.66459564425	1
15	0	1	10.1581297709	9.51044496443	1
12	1	2	10.3336452732	9.66459564425	0
15	1	1	10.3336452732	9.71111565989	0
16	1	3	10.8197782844	10.3886876287	0
15	1	1	10.448714603	9.79812703688	0
15	1	1	10.175421268	9.66459564425	0
16	1	1	10.7116361258	9.96364147536	0
12	0	1	10.0212705882	9.39266192877	0
12	0	1	10.1522988506	9.5645121857	0
12	0	1	9.9664623517	9.32812340763	0
12	0	1	10.3039401188	9.51044496443	0
12	0	1	10.448714603	9.40508444877	0
15	1	1	10.2309911192	9.61580548008	1
12	1	1	10.2309911192	9.35444071595	1
16	1	3	10.7944604764	9.9983430835499984	0
15	1	1	10.6784451083	9.66459564425	0
12	1	1	10.0010678809	9.61580548008	0
12	0	1	10.0010678809	9.39266192877	0
12	0	1	10.0212705882	9.5645121857	0
15	0	1	10.1464337311	9.39266192877	0
12	0	1	10.2805531861	9.61580548008	0
8	0	1	9.72913416539	9.2301429992700016	0
8	1	2	10.2938390228	9.66459564425	1
12	1	1	10.1924188444	9.66459564425	1
18	1	3	10.9150884642	10.3886876287	0
18	1	3	11.0429218357	10.4625317486	0
15	1	1	10.2146419812	9.75556742246	0
12	0	1	10.1043854949	9.39266192877	0
16	0	1	10.4042628404	9.79812703688	0
15	0	1	10.5200236307	9.79812703688	0
12	0	1	10.1043854949	9.30109473524	1
8	1	2	10.3719274598	9.66459564425	0
16	1	3	10.7632079329	9.96364147536	0
12	0	1	10.1696905933	9.35444071595	0
8	0	1	9.67407438821	9.2301429992700016	0
8	0	1	10.0732303271	9.27331517114	0
8	0	1	9.98736903652	9.4294759018899984	0
12	1	3	10.9920495054	10.4267356963	1
12	0	1	10.1043854949	9.5645121857	1
16	1	3	11.5473268917	11.0020998412	0
12	1	1	10.4829059678	9.71111565989	0
12	0	1	10.0078475679	9.71111565989	0
15	0	1	10.0410732155	9.54323478725	0
12	0	1	10.0475878965	9.39266192877	0
16	0	3	10.9464109353	10.3089526606	0
17	0	1	10.2784934532	9.45328655059	0
12	0	1	10.5360882332	9.66459564425	0
12	0	1	10.2363819678	9.51044496443	0
8	0	1	9.9593951844700016	9.39266192877	0
12	1	2	10.3481733738	9.66459564425	1
12	0	1	9.93061621992	9.32812340763	1
15	1	1	10.1639268886	9.75556742246	0
15	1	1	10.2523823092	9.61580548008	0
8	0	1	9.78131991856	9.2301429992700016	0
15	0	1	10.0668810994	9.51044496443	0
12	0	1	9.90098442232	9.2301429992700016	0
12	0	1	10.2887499533	9.63560810738	0
12	0	1	10.2681306661	9.54323478725	0
8	0	1	9.73802311281	9.2301429992700016	0
16	1	1	10.4829059678	9.79812703688	1
12	0	1	9.7642254852	9.2301429992700016	1
8	0	1	9.97347992436	9.2301429992700016	1
12	0	1	10.116580768	9.39266192877	1
12	0	1	9.73802311281	9.2301429992700016	1
12	0	1	10.1696905933	9.51044496443	1
14	1	1	10.241743911	9.61580548008	0
16	0	1	10.5078035194	9.79812703688	0
16	0	3	10.9703511429	9.79812703688	0
15	1	1	9.9664623517	9.66459564425	0
12	1	1	10.0212705882	9.71111565989	0
15	1	1	10.2887499533	9.66459564425	0
12	1	1	10.2201214469	9.59560277277	0
15	1	1	10.3039401188	9.66459564425	0
15	1	1	10.140534009	9.66459564425	0
8	0	1	9.66459564425	9.2301429992700016	0
8	0	1	9.8858326173	9.47654341275	0
12	0	1	9.95227771671	9.51044496443	0
17	1	1	10.203592145	9.79812703688	1
12	1	1	10.0858091093	9.66459564425	1
17	1	3	11.2708539038	10.2660451596	1
12	0	1	9.94510922723	9.47654341275	1
12	1	2	10.3089526606	9.66459564425	0
8	1	2	10.2576593663	9.66459564425	0
19	1	3	11.0821425489	10.3728659864	0
14	1	1	10.3139402022	9.71111565989	0
19	1	3	11.1105804842	10.3886876287	0
15	0	1	10.0920396591	9.51044496443	0
12	0	1	10.1043854949	9.4294759018899984	0
12	0	1	9.98044859367	9.39266192877	0
12	0	1	10.2363819678	9.4294759018899984	0
8	0	1	10.2784934532	9.4294759018899984	0
12	0	1	10.0279151309	9.32812340763	0
12	0	1	9.94510922723	9.32812340763	0
12	0	1	10.0410732155	9.41735454136	0
12	0	1	10.3287552879	9.4294759018899984	0
12	0	1	9.92329017983	9.32812340763	0
12	0	1	10.0795394963	9.45328655059	0
12	0	1	10.0345158149	9.32812340763	0
12	0	1	9.93788897925	9.32812340763	0
12	0	1	9.9664623517	9.32812340763	1
12	0	1	10.0982316293	9.61580548008	1
12	0	1	9.8858326173	9.54323478725	1
17	1	3	11.0020998412	10.3886876287	0
15	1	1	10.3189029915	9.66459564425	0
19	1	3	11.0227191284	10.4042628404	0
19	1	1	10.4912742174	9.87816974455	0
8	0	1	10.1345992735	9.8389490314	0
12	0	1	9.69276652122	9.2301429992700016	0
12	0	1	10.0345158149	9.32812340763	0
16	0	3	10.6805162171	9.87816974455	0
8	1	2	10.3189029915	9.66459564425	1
15	1	1	10.3719274598	9.66459564425	1
15	1	1	10.4702208082	9.51044496443	0
15	1	1	10.5400643816	9.61580548008	0
15	1	1	10.3481733738	9.66459564425	0
15	1	1	10.2887499533	9.71111565989	0
19	1	3	11.156250521	10.4642455451	0
15	1	1	10.4311702934	9.66459564425	0
15	1	1	10.2091323254	9.71111565989	0
12	0	1	10.0078475679	9.53242387115	0
15	0	1	10.3529695461	9.3147003873	0
12	0	1	9.94510922723	9.51044496443	0
16	1	1	10.413312676	9.76938456801	1
8	1	1	10.175421268	9.68346412856	1
15	1	1	10.3719274598	9.66459564425	1
8	1	2	10.3089526606	9.66459564425	1
19	1	3	11.1011907438	10.4625317486	1
18	1	3	11.3650053349	10.7144177688	0
12	1	1	10.3336452732	9.61580548008	0
12	1	1	10.4204940354	9.66459564425	0
16	1	1	10.4616737477	9.91591007253	0
15	1	1	10.6053466737	9.71111565989	0
12	1	1	10.317912402	9.66459564425	0
8	1	1	10.175421268	9.68346412856	0
15	1	1	10.3859137018	9.61580548008	0
12	0	1	9.92329017983	9.32812340763	0
8	0	1	10.0920396591	9.45328655059	0
15	0	1	10.0795394963	9.51044496443	0
12	0	1	10.2989023248	9.51044496443	0
8	0	1	9.98044859367	9.51044496443	0
12	0	1	10.1043854949	9.66459564425	0
15	1	1	10.241743911	9.71111565989	1
16	1	3	11.512925465	10.6942150614	1
15	1	1	10.7995755771	9.93061621992	1
12	0	1	9.70198317633	9.2301429992700016	1
16	1	3	11.156250521	9.98736903652	0
19	1	3	10.9150884642	10.4625317486	0
15	1	1	10.2576593663	9.5645121857	0
12	1	1	10.2681306661	9.79812703688	0
15	1	1	10.1043854949	9.66459564425	0
19	1	3	11.4144853922	10.3497746552	0
16	1	3	10.6839585613	9.87816974455	0
19	1	3	11.2252433925	10.6574946214	0
15	1	1	10.3624934276	9.5645121857	0
19	1	3	11.0328714999	10.2660451596	0
12	0	1	9.98736903652	9.32812340763	0
12	0	1	10.0212705882	9.45328655059	0
8	0	1	9.98044859367	9.51044496443	0
16	0	3	10.4461024988	9.87816974455	0
15	0	1	9.93788897925	9.5645121857	0
19	1	3	10.769537068	10.4042628404	0
12	1	1	10.4311702934	9.71111565989	0
12	0	1	10.0604913013	9.51044496443	0
16	0	1	10.3997070239	9.87816974455	0
16	0	3	10.9286326893	9.9024870522	0
15	0	1	10.1345992735	9.54323478725	0
12	1	1	10.175421268	9.66459564425	1
15	1	1	10.1811192891	9.66459564425	1
15	1	1	10.5751557014	9.66459564425	0
12	0	1	9.97347992436	9.45328655059	0
12	0	1	10.2887499533	9.5645121857	0
